"","DGUID","ALT_GEO_CODE","GEO_LEVEL","DATA_QUALITY_FLAG","CHARACTERISTIC_ID","Language","C1_COUNT_TOTAL","C10_RATE_TOTAL","Languages"
"1","2021A00031001",1001,"Census division",0,835,"Arabic",900,0.3,"Arabic"
"2","2021A00031003",1003,"Census division",0,1008,"American Sign Language",10,0.1,"American Sign Language"
"3","2021A00031005",1005,"Census division",0,865,"Tagalog (Pilipino, Filipino)",50,0.1,"Tagalog (Pilipino, Filipino)"
"4","2021A00031007",1007,"Census division",0,949,"Punjabi (Panjabi)",25,0.1,"Punjabi (Panjabi)"
"5","2021A00031008",1008,"Census division",0,949,"Punjabi (Panjabi)",15,0,"Punjabi (Panjabi)"
"6","2021A00031010",1010,"Census division",0,740,"Innu (Montagnais)",1300,5.4,"Innu (Montagnais)"
"7","2021A00031011",1011,"Census division",2020,783,"Inuktitut",35,1.5,"Inuktitut"
"8","2021A00031101",1101,"Census division",0,1014,"Mandarin",600,3.3,"Mandarin"
"9","2021A00031102",1102,"Census division",0,1014,"Mandarin",2340,2.6,"Mandarin"
"10","2021A00031103",1103,"Census division",0,865,"Tagalog (Pilipino, Filipino)",610,1.3,"Tagalog (Pilipino, Filipino)"
"11","2021A00031201",1201,"Census division",0,917,"German",10,0.1,"German"
"12","2021A00031202",1202,"Census division",0,971,"Spanish",35,0.1,"Spanish"
"13","2021A00031203",1203,"Census division",0,975,"Korean",30,0.2,"Korean"
"14","2021A00031204",1204,"Census division",0,917,"German",25,0.2,"German"
"15","2021A00031205",1205,"Census division",0,917,"German",50,0.2,"German"
"16","2021A00031206",1206,"Census division",0,917,"German",110,0.2,"German"
"17","2021A00031207",1207,"Census division",0,949,"Punjabi (Panjabi)",105,0.2,"Punjabi (Panjabi)"
"18","2021A00031208",1208,"Census division",0,917,"German",225,0.5,"German"
"19","2021A00031209",1209,"Census division",0,1014,"Mandarin",4670,1.1,"Mandarin"
"20","2021A00031210",1210,"Census division",0,949,"Punjabi (Panjabi)",180,0.4,"Punjabi (Panjabi)"
"21","2021A00031211",1211,"Census division",0,917,"German",70,0.2,"German"
"22","2021A00031212",1212,"Census division",0,865,"Tagalog (Pilipino, Filipino)",75,0.2,"Tagalog (Pilipino, Filipino)"
"23","2021A00031213",1213,"Census division",0,917,"German",25,0.3,"German"
"24","2021A00031214",1214,"Census division",0,835,"Arabic",70,0.4,"Arabic"
"25","2021A00031215",1215,"Census division",0,743,"Mi'kmaq",145,0.9,"Mi'kmaq"
"26","2021A00031216",1216,"Census division",0,743,"Mi'kmaq",65,0.7,"Mi'kmaq"
"27","2021A00031217",1217,"Census division",0,743,"Mi'kmaq",1585,1.6,"Mi'kmaq"
"28","2021A00031218",1218,"Census division",0,743,"Mi'kmaq",145,2,"Mi'kmaq"
