"","DGUID","ALT_GEO_CODE","GEO_LEVEL","DATA_QUALITY_FLAG","CHARACTERISTIC_ID","Language","C1_COUNT_TOTAL","C10_RATE_TOTAL","Languages"
"1","2021S051235300798",35300798,"Dissemination area",0,970,"Romanian",5,0.8,"Romanian"
"2","2021S051235300805",35300805,"Dissemination area",0,900,"Serbo-Croatian",10,1.2,"Serbo-Croatian"
"3","2021S051235300806",35300806,"Dissemination area",0,886,"Albanian",10,1.2,"Albanian"
"4","2021S051235300808",35300808,"Dissemination area",0,971,"Spanish",5,0.8,"Spanish"
"5","2021S051235300809",35300809,"Dissemination area",0,969,"Portuguese",10,1.9,"Portuguese"
"6","2021S051235300811",35300811,"Dissemination area",0,969,"Portuguese",25,5.4,"Portuguese"
"7","2021S051235300812",35300812,"Dissemination area",0,969,"Portuguese",5,0.9,"Portuguese"
"8","2021S051235300813",35300813,"Dissemination area",0,969,"Portuguese",15,2.4,"Portuguese"
"9","2021S051235300464",35300464,"Dissemination area",0,949,"Punjabi (Panjabi)",5,1.1,"Punjabi (Panjabi)"
"10","2021S051235300466",35300466,"Dissemination area",0,969,"Portuguese",5,0.8,"Portuguese"
"11","2021S051235300469",35300469,"Dissemination area",0,949,"Punjabi (Panjabi)",365,12.1,"Punjabi (Panjabi)"
"12","2021S051235300470",35300470,"Dissemination area",9,949,"Punjabi (Panjabi)",10,3.3,"Punjabi (Panjabi)"
"13","2021S051235300471",35300471,"Dissemination area",0,865,"Tagalog (Pilipino, Filipino)",15,2,"Tagalog (Pilipino, Filipino)"
"14","2021S051235300478",35300478,"Dissemination area",0,878,"Malayalam",5,1.1,"Malayalam"
"15","2021S051235300479",35300479,"Dissemination area",0,949,"Punjabi (Panjabi)",5,1.1,"Punjabi (Panjabi)"
"16","2021S051235300480",35300480,"Dissemination area",0,835,"Arabic",10,1.8,"Arabic"
"17","2021S051235300481",35300481,"Dissemination area",0,939,"Gujarati",15,2.9,"Gujarati"
"18","2021S051235300483",35300483,"Dissemination area",0,969,"Portuguese",15,1.4,"Portuguese"
"19","2021S051235300485",35300485,"Dissemination area",0,975,"Korean",10,1.3,"Korean"
"20","2021S051235300486",35300486,"Dissemination area",0,865,"Tagalog (Pilipino, Filipino)",5,1.2,"Tagalog (Pilipino, Filipino)"
"21","2021S051235300488",35300488,"Dissemination area",0,971,"Spanish",10,1.3,"Spanish"
"22","2021S051235300489",35300489,"Dissemination area",30,971,"Spanish",15,1.4,"Spanish"
"23","2021S051235300493",35300493,"Dissemination area",0,969,"Portuguese",5,1.6,"Portuguese"
"24","2021S051235300494",35300494,"Dissemination area",0,953,"Urdu",10,1.5,"Urdu"
"25","2021S051235300495",35300495,"Dissemination area",0,969,"Portuguese",5,1.2,"Portuguese"
"26","2021S051235300501",35300501,"Dissemination area",0,971,"Spanish",10,2.4,"Spanish"
"27","2021S051235300503",35300503,"Dissemination area",0,953,"Urdu",50,4.3,"Urdu"
"28","2021S051235300504",35300504,"Dissemination area",0,969,"Portuguese",30,4,"Portuguese"
"29","2021S051235300505",35300505,"Dissemination area",0,971,"Spanish",10,2.2,"Spanish"
"30","2021S051235300507",35300507,"Dissemination area",0,939,"Gujarati",10,2.9,"Gujarati"
"31","2021S051235300508",35300508,"Dissemination area",0,959,"Pashto",20,3.1,"Pashto"
"32","2021S051235300511",35300511,"Dissemination area",0,971,"Spanish",5,1.3,"Spanish"
"33","2021S051235300512",35300512,"Dissemination area",0,939,"Gujarati",15,1.9,"Gujarati"
"34","2021S051235300514",35300514,"Dissemination area",0,939,"Gujarati",20,6.3,"Gujarati"
"35","2021S051235300517",35300517,"Dissemination area",0,959,"Pashto",25,4.3,"Pashto"
"36","2021S051235300526",35300526,"Dissemination area",0,969,"Portuguese",5,1.1,"Portuguese"
"37","2021S051235300527",35300527,"Dissemination area",0,953,"Urdu",10,2.2,"Urdu"
"38","2021S051235300528",35300528,"Dissemination area",0,949,"Punjabi (Panjabi)",5,0.7,"Punjabi (Panjabi)"
"39","2021S051235300537",35300537,"Dissemination area",0,949,"Punjabi (Panjabi)",270,6.9,"Punjabi (Panjabi)"
"40","2021S051235300538",35300538,"Dissemination area",0,949,"Punjabi (Panjabi)",10,1.8,"Punjabi (Panjabi)"
"41","2021S051235300539",35300539,"Dissemination area",0,971,"Spanish",5,1.1,"Spanish"
"42","2021S051235300541",35300541,"Dissemination area",9,953,"Urdu",10,3.8,"Urdu"
"43","2021S051235300542",35300542,"Dissemination area",0,949,"Punjabi (Panjabi)",15,1.1,"Punjabi (Panjabi)"
"44","2021S051235300547",35300547,"Dissemination area",0,939,"Gujarati",15,2.4,"Gujarati"
"45","2021S051235300550",35300550,"Dissemination area",0,969,"Portuguese",10,2.2,"Portuguese"
"46","2021S051235300553",35300553,"Dissemination area",0,847,"Vietnamese",10,2.5,"Vietnamese"
"47","2021S051235300554",35300554,"Dissemination area",0,969,"Portuguese",5,0.5,"Portuguese"
"48","2021S051235300555",35300555,"Dissemination area",0,897,"Polish",5,1.1,"Polish"
"49","2021S051235300557",35300557,"Dissemination area",0,953,"Urdu",65,3.7,"Urdu"
"50","2021S051235300559",35300559,"Dissemination area",0,949,"Punjabi (Panjabi)",10,1.8,"Punjabi (Panjabi)"
"51","2021S051235300561",35300561,"Dissemination area",0,949,"Punjabi (Panjabi)",210,7,"Punjabi (Panjabi)"
"52","2021S051235300611",35300611,"Dissemination area",0,969,"Portuguese",40,5.8,"Portuguese"
