"","DGUID","ALT_GEO_CODE","GEO_LEVEL","DATA_QUALITY_FLAG","CHARACTERISTIC_ID","Language","C1_COUNT_TOTAL","C10_RATE_TOTAL","Languages"
"1","2021S051235390014",35390014,"Dissemination area",0,1014,"Mandarin",40,4.1,"Mandarin"
"2","2021S051235390018",35390018,"Dissemination area",0,1014,"Mandarin",15,4.3,"Mandarin"
"3","2021S051235390021",35390021,"Dissemination area",0,1014,"Mandarin",15,4.2,"Mandarin"
"4","2021S051235390023",35390023,"Dissemination area",0,1014,"Mandarin",25,3.8,"Mandarin"
"5","2021S051235390024",35390024,"Dissemination area",0,1014,"Mandarin",35,9,"Mandarin"
"6","2021S051235390025",35390025,"Dissemination area",0,1014,"Mandarin",15,2.7,"Mandarin"
"7","2021S051235390027",35390027,"Dissemination area",0,1014,"Mandarin",10,2.9,"Mandarin"
"8","2021S051235390031",35390031,"Dissemination area",0,1014,"Mandarin",40,6.5,"Mandarin"
"9","2021S051235390032",35390032,"Dissemination area",0,835,"Arabic",35,2.4,"Arabic"
"10","2021S051235390033",35390033,"Dissemination area",9,1014,"Mandarin",10,3.9,"Mandarin"
"11","2021S051235390034",35390034,"Dissemination area",0,1014,"Mandarin",25,2.5,"Mandarin"
"12","2021S051235390036",35390036,"Dissemination area",2020,1014,"Mandarin",65,5.8,"Mandarin"
"13","2021S051235390037",35390037,"Dissemination area",4040,974,"Japanese",20,4.9,"Japanese"
"14","2021S051235390038",35390038,"Dissemination area",2020,917,"German",10,2.4,"German"
"15","2021S051235390039",35390039,"Dissemination area",0,1014,"Mandarin",5,1.5,"Mandarin"
"16","2021S051235390042",35390042,"Dissemination area",10,835,"Arabic",10,1.6,"Arabic"
"17","2021S051235390043",35390043,"Dissemination area",10,945,"Nepali",10,2.2,"Nepali"
"18","2021S051235390044",35390044,"Dissemination area",0,971,"Spanish",10,1.7,"Spanish"
"19","2021S051235390045",35390045,"Dissemination area",0,940,"Hindi",5,1.5,"Hindi"
"20","2021S051235390047",35390047,"Dissemination area",0,1014,"Mandarin",10,1.5,"Mandarin"
"21","2021S051235390049",35390049,"Dissemination area",0,897,"Polish",10,1.5,"Polish"
"22","2021S051235390050",35390050,"Dissemination area",0,969,"Portuguese",10,2.1,"Portuguese"
"23","2021S051235390052",35390052,"Dissemination area",0,971,"Spanish",5,1.3,"Spanish"
"24","2021S051235390054",35390054,"Dissemination area",0,971,"Spanish",10,2.3,"Spanish"
"25","2021S051235390055",35390055,"Dissemination area",0,847,"Vietnamese",5,1.3,"Vietnamese"
"26","2021S051235390056",35390056,"Dissemination area",0,878,"Malayalam",25,6.6,"Malayalam"
"27","2021S051235390059",35390059,"Dissemination area",0,934,"Greek",5,0.8,"Greek"
"28","2021S051235390060",35390060,"Dissemination area",0,971,"Spanish",10,2.4,"Spanish"
"29","2021S051235390062",35390062,"Dissemination area",0,939,"Gujarati",10,1.4,"Gujarati"
"30","2021S051235390064",35390064,"Dissemination area",0,971,"Spanish",5,1,"Spanish"
"31","2021S051235390065",35390065,"Dissemination area",0,969,"Portuguese",5,0.9,"Portuguese"
"32","2021S051235390068",35390068,"Dissemination area",0,878,"Malayalam",10,2.2,"Malayalam"
"33","2021S051235390074",35390074,"Dissemination area",0,969,"Portuguese",10,2.1,"Portuguese"
"34","2021S051235390075",35390075,"Dissemination area",0,969,"Portuguese",5,1.5,"Portuguese"
"35","2021S051235390076",35390076,"Dissemination area",0,969,"Portuguese",20,3.4,"Portuguese"
"36","2021S051235390079",35390079,"Dissemination area",9,969,"Portuguese",5,1.9,"Portuguese"
"37","2021S051235390093",35390093,"Dissemination area",0,969,"Portuguese",25,6.9,"Portuguese"
"38","2021S051235390094",35390094,"Dissemination area",0,969,"Portuguese",20,4.1,"Portuguese"
"39","2021S051235390095",35390095,"Dissemination area",0,971,"Spanish",20,2.4,"Spanish"
"40","2021S051235390096",35390096,"Dissemination area",0,953,"Urdu",40,9.9,"Urdu"
"41","2021S051235390098",35390098,"Dissemination area",0,968,"Italian",10,2.5,"Italian"
"42","2021S051235390099",35390099,"Dissemination area",0,897,"Polish",10,1.1,"Polish"
"43","2021S051235390101",35390101,"Dissemination area",0,971,"Spanish",10,2.4,"Spanish"
"44","2021S051235390102",35390102,"Dissemination area",0,897,"Polish",5,1.5,"Polish"
"45","2021S051235390103",35390103,"Dissemination area",0,969,"Portuguese",5,1.2,"Portuguese"
"46","2021S051235390104",35390104,"Dissemination area",0,971,"Spanish",10,1.7,"Spanish"
"47","2021S051235390105",35390105,"Dissemination area",0,969,"Portuguese",10,2.4,"Portuguese"
"48","2021S051235390106",35390106,"Dissemination area",0,969,"Portuguese",10,2.3,"Portuguese"
"49","2021S051235390107",35390107,"Dissemination area",0,1037,"Turkish",15,3.6,"Turkish"
"50","2021S051235390109",35390109,"Dissemination area",0,971,"Spanish",5,1.1,"Spanish"
"51","2021S051235390110",35390110,"Dissemination area",0,971,"Spanish",10,2.1,"Spanish"
"52","2021S051235390112",35390112,"Dissemination area",0,969,"Portuguese",15,3.7,"Portuguese"
"53","2021S051235390113",35390113,"Dissemination area",10,969,"Portuguese",15,3.9,"Portuguese"
"54","2021S051235390114",35390114,"Dissemination area",0,971,"Spanish",10,2.6,"Spanish"
"55","2021S051235390117",35390117,"Dissemination area",0,969,"Portuguese",10,2.9,"Portuguese"
"56","2021S051235390118",35390118,"Dissemination area",0,897,"Polish",20,5.1,"Polish"
"57","2021S051235390119",35390119,"Dissemination area",10,969,"Portuguese",10,2.8,"Portuguese"
"58","2021S051235390121",35390121,"Dissemination area",10,835,"Arabic",10,1.8,"Arabic"
"59","2021S051235390122",35390122,"Dissemination area",0,971,"Spanish",20,4.3,"Spanish"
"60","2021S051235390127",35390127,"Dissemination area",0,971,"Spanish",5,1.3,"Spanish"
"61","2021S051235390129",35390129,"Dissemination area",0,971,"Spanish",5,0.9,"Spanish"
"62","2021S051235390130",35390130,"Dissemination area",0,971,"Spanish",5,1.4,"Spanish"
"63","2021S051235390131",35390131,"Dissemination area",0,969,"Portuguese",5,1.1,"Portuguese"
"64","2021S051235390137",35390137,"Dissemination area",0,939,"Gujarati",5,1,"Gujarati"
"65","2021S051235390139",35390139,"Dissemination area",0,971,"Spanish",30,3.6,"Spanish"
"66","2021S051235390142",35390142,"Dissemination area",0,971,"Spanish",35,6,"Spanish"
"67","2021S051235390143",35390143,"Dissemination area",0,900,"Serbo-Croatian",10,2.5,"Serbo-Croatian"
"68","2021S051235390144",35390144,"Dissemination area",0,835,"Arabic",100,6.7,"Arabic"
"69","2021S051235390145",35390145,"Dissemination area",0,971,"Spanish",30,4.5,"Spanish"
"70","2021S051235390146",35390146,"Dissemination area",0,835,"Arabic",25,1.7,"Arabic"
"71","2021S051235390147",35390147,"Dissemination area",0,835,"Arabic",10,3.4,"Arabic"
"72","2021S051235390148",35390148,"Dissemination area",0,835,"Arabic",35,5,"Arabic"
"73","2021S051235390149",35390149,"Dissemination area",0,835,"Arabic",20,6.7,"Arabic"
"74","2021S051235390150",35390150,"Dissemination area",0,835,"Arabic",35,10.4,"Arabic"
"75","2021S051235390151",35390151,"Dissemination area",0,835,"Arabic",35,4.3,"Arabic"
"76","2021S051235390152",35390152,"Dissemination area",0,835,"Arabic",25,5.7,"Arabic"
"77","2021S051235390153",35390153,"Dissemination area",0,835,"Arabic",20,3.7,"Arabic"
"78","2021S051235390154",35390154,"Dissemination area",0,835,"Arabic",75,11.9,"Arabic"
"79","2021S051235390155",35390155,"Dissemination area",0,835,"Arabic",35,10,"Arabic"
"80","2021S051235390156",35390156,"Dissemination area",0,835,"Arabic",45,12.2,"Arabic"
"81","2021S051235390157",35390157,"Dissemination area",0,835,"Arabic",145,13.1,"Arabic"
"82","2021S051235390158",35390158,"Dissemination area",0,835,"Arabic",55,16.2,"Arabic"
"83","2021S051235390162",35390162,"Dissemination area",0,835,"Arabic",100,13.4,"Arabic"
"84","2021S051235390163",35390163,"Dissemination area",909,835,"Arabic",20,8.3,"Arabic"
"85","2021S051235390164",35390164,"Dissemination area",0,835,"Arabic",20,5.7,"Arabic"
"86","2021S051235390166",35390166,"Dissemination area",0,835,"Arabic",50,5.8,"Arabic"
"87","2021S051235390167",35390167,"Dissemination area",0,835,"Arabic",30,5,"Arabic"
"88","2021S051235390168",35390168,"Dissemination area",0,835,"Arabic",95,11.4,"Arabic"
"89","2021S051235390170",35390170,"Dissemination area",909,969,"Portuguese",5,2.6,"Portuguese"
"90","2021S051235390171",35390171,"Dissemination area",0,971,"Spanish",10,3.8,"Spanish"
"91","2021S051235390172",35390172,"Dissemination area",0,835,"Arabic",75,7.2,"Arabic"
"92","2021S051235390173",35390173,"Dissemination area",0,835,"Arabic",20,2.5,"Arabic"
"93","2021S051235390175",35390175,"Dissemination area",0,835,"Arabic",50,4.9,"Arabic"
"94","2021S051235390176",35390176,"Dissemination area",0,835,"Arabic",65,7,"Arabic"
"95","2021S051235390178",35390178,"Dissemination area",0,835,"Arabic",45,3.9,"Arabic"
"96","2021S051235390179",35390179,"Dissemination area",0,835,"Arabic",25,6,"Arabic"
"97","2021S051235390180",35390180,"Dissemination area",0,835,"Arabic",30,4.3,"Arabic"
"98","2021S051235390181",35390181,"Dissemination area",0,835,"Arabic",25,5.9,"Arabic"
"99","2021S051235390183",35390183,"Dissemination area",0,835,"Arabic",30,4.6,"Arabic"
"100","2021S051235390186",35390186,"Dissemination area",0,835,"Arabic",15,1.7,"Arabic"
"101","2021S051235390188",35390188,"Dissemination area",0,971,"Spanish",25,3.2,"Spanish"
"102","2021S051235390191",35390191,"Dissemination area",0,835,"Arabic",55,6.7,"Arabic"
"103","2021S051235390198",35390198,"Dissemination area",10,971,"Spanish",10,3.4,"Spanish"
"104","2021S051235390200",35390200,"Dissemination area",0,971,"Spanish",20,2.5,"Spanish"
"105","2021S051235390201",35390201,"Dissemination area",0,971,"Spanish",30,5.6,"Spanish"
"106","2021S051235390202",35390202,"Dissemination area",0,953,"Urdu",25,4.2,"Urdu"
"107","2021S051235390203",35390203,"Dissemination area",0,971,"Spanish",15,2.2,"Spanish"
"108","2021S051235390204",35390204,"Dissemination area",0,940,"Hindi",5,1,"Hindi"
"109","2021S051235390205",35390205,"Dissemination area",0,971,"Spanish",10,2.3,"Spanish"
"110","2021S051235390208",35390208,"Dissemination area",0,971,"Spanish",5,0.9,"Spanish"
"111","2021S051235390212",35390212,"Dissemination area",0,835,"Arabic",15,2.4,"Arabic"
"112","2021S051235390213",35390213,"Dissemination area",9,897,"Polish",5,1.8,"Polish"
"113","2021S051235390214",35390214,"Dissemination area",0,971,"Spanish",15,2.1,"Spanish"
"114","2021S051235390216",35390216,"Dissemination area",0,971,"Spanish",15,3.1,"Spanish"
"115","2021S051235390217",35390217,"Dissemination area",0,971,"Spanish",15,2.7,"Spanish"
"116","2021S051235390218",35390218,"Dissemination area",0,971,"Spanish",25,3.4,"Spanish"
"117","2021S051235390226",35390226,"Dissemination area",0,835,"Arabic",15,2.8,"Arabic"
"118","2021S051235390227",35390227,"Dissemination area",0,835,"Arabic",30,4.8,"Arabic"
"119","2021S051235390228",35390228,"Dissemination area",0,835,"Arabic",85,8.1,"Arabic"
"120","2021S051235390234",35390234,"Dissemination area",0,835,"Arabic",10,2.7,"Arabic"
"121","2021S051235390235",35390235,"Dissemination area",0,835,"Arabic",10,2,"Arabic"
"122","2021S051235390236",35390236,"Dissemination area",909,835,"Arabic",15,6.3,"Arabic"
"123","2021S051235390237",35390237,"Dissemination area",0,835,"Arabic",25,5.7,"Arabic"
"124","2021S051235390240",35390240,"Dissemination area",0,835,"Arabic",35,5,"Arabic"
"125","2021S051235390241",35390241,"Dissemination area",0,835,"Arabic",15,3.4,"Arabic"
"126","2021S051235390242",35390242,"Dissemination area",0,897,"Polish",10,3.4,"Polish"
"127","2021S051235390244",35390244,"Dissemination area",0,934,"Greek",15,2.9,"Greek"
"128","2021S051235390246",35390246,"Dissemination area",0,835,"Arabic",5,1,"Arabic"
"129","2021S051235390249",35390249,"Dissemination area",0,835,"Arabic",35,3.1,"Arabic"
"130","2021S051235390257",35390257,"Dissemination area",0,971,"Spanish",45,4.6,"Spanish"
"131","2021S051235390258",35390258,"Dissemination area",0,835,"Arabic",30,10.2,"Arabic"
"132","2021S051235390259",35390259,"Dissemination area",0,971,"Spanish",35,6.2,"Spanish"
