"","DGUID","ALT_GEO_CODE","GEO_LEVEL","DATA_QUALITY_FLAG","CHARACTERISTIC_ID","Language","C1_COUNT_TOTAL","C10_RATE_TOTAL","Languages"
"1","2021S051235200002",35200002,"Dissemination area",0,879,"Tamil",50,14.9,"Tamil"
"2","2021S051235200003",35200003,"Dissemination area",0,879,"Tamil",60,19.4,"Tamil"
"3","2021S051235200004",35200004,"Dissemination area",0,879,"Tamil",45,12.9,"Tamil"
"4","2021S051235200005",35200005,"Dissemination area",0,879,"Tamil",70,17.1,"Tamil"
"5","2021S051235200006",35200006,"Dissemination area",0,879,"Tamil",80,15.4,"Tamil"
"6","2021S051235200007",35200007,"Dissemination area",0,879,"Tamil",95,14.7,"Tamil"
"7","2021S051235200009",35200009,"Dissemination area",0,879,"Tamil",40,12.7,"Tamil"
"8","2021S051235200010",35200010,"Dissemination area",0,879,"Tamil",35,12.7,"Tamil"
"9","2021S051235200012",35200012,"Dissemination area",0,879,"Tamil",50,9.8,"Tamil"
"10","2021S051235200013",35200013,"Dissemination area",909,831,"Somali",10,14.3,"Somali"
"11","2021S051235200018",35200018,"Dissemination area",0,1018,"Yue (Cantonese)",105,13.6,"Yue (Cantonese)"
"12","2021S051235200028",35200028,"Dissemination area",0,879,"Tamil",70,5.9,"Tamil"
"13","2021S051235200031",35200031,"Dissemination area",0,879,"Tamil",100,8.8,"Tamil"
"14","2021S051235200033",35200033,"Dissemination area",0,865,"Tagalog (Pilipino, Filipino)",45,10,"Tagalog (Pilipino, Filipino)"
"15","2021S051235200034",35200034,"Dissemination area",0,879,"Tamil",65,8,"Tamil"
"16","2021S051235200035",35200035,"Dissemination area",0,879,"Tamil",60,9.2,"Tamil"
"17","2021S051235200036",35200036,"Dissemination area",0,865,"Tagalog (Pilipino, Filipino)",30,10.5,"Tagalog (Pilipino, Filipino)"
"18","2021S051235200037",35200037,"Dissemination area",0,865,"Tagalog (Pilipino, Filipino)",80,6.4,"Tagalog (Pilipino, Filipino)"
"19","2021S051235200039",35200039,"Dissemination area",0,879,"Tamil",15,5.3,"Tamil"
"20","2021S051235200041",35200041,"Dissemination area",0,879,"Tamil",70,8.3,"Tamil"
"21","2021S051235200043",35200043,"Dissemination area",0,865,"Tagalog (Pilipino, Filipino)",35,5.9,"Tagalog (Pilipino, Filipino)"
"22","2021S051235200046",35200046,"Dissemination area",0,879,"Tamil",50,6.3,"Tamil"
"23","2021S051235200047",35200047,"Dissemination area",0,953,"Urdu",105,11.1,"Urdu"
"24","2021S051235200048",35200048,"Dissemination area",0,953,"Urdu",125,12.8,"Urdu"
"25","2021S051235200049",35200049,"Dissemination area",0,953,"Urdu",70,8.9,"Urdu"
"26","2021S051235200050",35200050,"Dissemination area",0,953,"Urdu",85,8.8,"Urdu"
"27","2021S051235200051",35200051,"Dissemination area",0,953,"Urdu",25,5.4,"Urdu"
"28","2021S051235200053",35200053,"Dissemination area",0,865,"Tagalog (Pilipino, Filipino)",20,7,"Tagalog (Pilipino, Filipino)"
"29","2021S051235200054",35200054,"Dissemination area",0,879,"Tamil",35,9.7,"Tamil"
"30","2021S051235200055",35200055,"Dissemination area",0,879,"Tamil",30,6.5,"Tamil"
"31","2021S051235200056",35200056,"Dissemination area",0,879,"Tamil",25,8.9,"Tamil"
"32","2021S051235200057",35200057,"Dissemination area",909,879,"Tamil",20,8.3,"Tamil"
"33","2021S051235200058",35200058,"Dissemination area",909,939,"Gujarati",20,8,"Gujarati"
"34","2021S051235200062",35200062,"Dissemination area",0,879,"Tamil",85,11.9,"Tamil"
"35","2021S051235200064",35200064,"Dissemination area",0,1018,"Yue (Cantonese)",175,27.1,"Yue (Cantonese)"
"36","2021S051235200065",35200065,"Dissemination area",0,1018,"Yue (Cantonese)",115,29.5,"Yue (Cantonese)"
"37","2021S051235200066",35200066,"Dissemination area",0,1018,"Yue (Cantonese)",140,29.5,"Yue (Cantonese)"
"38","2021S051235200067",35200067,"Dissemination area",0,1018,"Yue (Cantonese)",95,15.2,"Yue (Cantonese)"
"39","2021S051235200068",35200068,"Dissemination area",0,1018,"Yue (Cantonese)",135,28.7,"Yue (Cantonese)"
"40","2021S051235200069",35200069,"Dissemination area",0,1018,"Yue (Cantonese)",195,28.9,"Yue (Cantonese)"
"41","2021S051235200070",35200070,"Dissemination area",0,1018,"Yue (Cantonese)",140,26.7,"Yue (Cantonese)"
"42","2021S051235200071",35200071,"Dissemination area",0,1018,"Yue (Cantonese)",105,26.9,"Yue (Cantonese)"
"43","2021S051235200072",35200072,"Dissemination area",0,1018,"Yue (Cantonese)",75,21.7,"Yue (Cantonese)"
"44","2021S051235200073",35200073,"Dissemination area",0,1018,"Yue (Cantonese)",65,18.6,"Yue (Cantonese)"
"45","2021S051235200074",35200074,"Dissemination area",909,1018,"Yue (Cantonese)",70,30.4,"Yue (Cantonese)"
"46","2021S051235200078",35200078,"Dissemination area",0,1018,"Yue (Cantonese)",200,29.4,"Yue (Cantonese)"
"47","2021S051235200079",35200079,"Dissemination area",0,1018,"Yue (Cantonese)",470,40.2,"Yue (Cantonese)"
"48","2021S051235200080",35200080,"Dissemination area",0,1018,"Yue (Cantonese)",110,25,"Yue (Cantonese)"
"49","2021S051235200082",35200082,"Dissemination area",0,1018,"Yue (Cantonese)",105,31.8,"Yue (Cantonese)"
"50","2021S051235200085",35200085,"Dissemination area",0,1018,"Yue (Cantonese)",95,28.4,"Yue (Cantonese)"
"51","2021S051235200086",35200086,"Dissemination area",0,1018,"Yue (Cantonese)",150,28.6,"Yue (Cantonese)"
"52","2021S051235200087",35200087,"Dissemination area",0,1018,"Yue (Cantonese)",110,18.5,"Yue (Cantonese)"
"53","2021S051235200088",35200088,"Dissemination area",0,1018,"Yue (Cantonese)",110,25,"Yue (Cantonese)"
"54","2021S051235200089",35200089,"Dissemination area",0,1014,"Mandarin",115,20.2,"Mandarin"
"55","2021S051235200090",35200090,"Dissemination area",0,1014,"Mandarin",190,33.6,"Mandarin"
"56","2021S051235200091",35200091,"Dissemination area",0,1018,"Yue (Cantonese)",135,26.5,"Yue (Cantonese)"
